daily_revenue,daily_views,daily_purchases,dates
375.99000000000007,545,86,2017-11-28
0.0,0,0,2017-11-29
194.22,192,33,2017-11-30
0.0,0,0,2017-12-01
0.0,0,0,2017-12-02
0.0,0,0,2017-12-03
484.65000000000003,403,64,2017-12-04
97.35000000000001,255,30,2017-12-05
0.0,0,0,2017-12-06
133.31,104,19,2017-12-07
20.9,7,2,2017-12-08
0.0,0,0,2017-12-09
96.24000000000001,126,14,2017-12-10
17.7,7,5,2017-12-11
435.58000000000004,733,100,2017-12-12
153.41,359,49,2017-12-13
1606.5,1,2,2017-12-14
733.6,1132,156,2017-12-15
0.0,0,0,2017-12-16
5.95,0,1,2017-12-17
77.69000000000001,408,35,2017-12-18
0.0,0,0,2017-12-19
0.0,0,0,2017-12-20
0.0,0,0,2017-12-21
0.0,0,0,2017-12-22
0.0,0,0,2017-12-23
0.0,0,0,2017-12-24
0.0,0,0,2017-12-25
0.0,0,0,2017-12-26
0.0,0,0,2017-12-27
0.0,0,0,2017-12-28
0.0,0,0,2017-12-29
0.0,0,0,2017-12-30
0.0,0,0,2017-12-31
14.0,4,2,2018-01-01
0.0,0,0,2018-01-02
0.0,0,0,2018-01-03
466.54999999999995,1826,163,2018-01-04
2463.67,260,33,2018-01-05
0.0,0,0,2018-01-06
0.0,0,0,2018-01-07
10.95,8,1,2018-01-08
0.0,0,0,2018-01-09
1874.42,9,3,2018-01-10
0.0,0,0,2018-01-11
0.0,0,0,2018-01-12
0.0,0,0,2018-01-13
0.0,0,0,2018-01-14
0.0,0,0,2018-01-15
209.51999999999998,320,49,2018-01-16
2277.02,41,8,2018-01-17
247.63,759,74,2018-01-18
3644.49,930,124,2018-01-19
0.0,0,0,2018-01-20
0.0,0,0,2018-01-21
146.11999999999995,172,23,2018-01-22
1682.47,13,14,2018-01-23
0.0,0,0,2018-01-24
182.52,524,62,2018-01-25
0.0,0,0,2018-01-26
0.0,0,0,2018-01-27
60.800000000000004,254,24,2018-01-28
0.0,0,0,2018-01-29
1545.5800000000002,999,107,2018-01-30
0.0,0,0,2018-01-31
0.0,0,0,2018-02-01
0.0,0,0,2018-02-02
0.0,0,0,2018-02-03
65.28,436,34,2018-02-04
865.3000000000001,132,23,2018-02-05
0.0,0,0,2018-02-06
0.0,0,0,2018-02-07
0.0,0,0,2018-02-08
0.0,0,0,2018-02-09
0.0,0,0,2018-02-10
89.69,215,22,2018-02-11
28.77,40,10,2018-02-12
138.17999999999998,241,53,2018-02-13
386.04999999999995,909,101,2018-02-14
11.549999999999999,5,2,2018-02-15
0.0,0,0,2018-02-16
0.0,0,0,2018-02-17
178.85,295,39,2018-02-18
61.19,132,11,2018-02-19
0.0,0,0,2018-02-20
427.7700000000001,907,120,2018-02-21
0.0,0,0,2018-02-22
0.0,0,0,2018-02-23
0.0,0,0,2018-02-24
0.0,0,0,2018-02-25
0.0,0,0,2018-02-26
0.0,0,0,2018-02-27
271.16,1088,103,2018-02-28
297.8400000000001,530,67,2018-03-01
11.13,179,17,2018-03-02
0.0,0,0,2018-03-03
0.0,0,0,2018-03-04
0.0,0,0,2018-03-05
69.25,14,6,2018-03-06
189.01,202,36,2018-03-07
0.0,0,0,2018-03-08
174.56,316,36,2018-03-09
0.0,0,0,2018-03-10
0.0,0,0,2018-03-11
281.16999999999996,495,71,2018-03-12
3.75,4,1,2018-03-13
113.53,112,19,2018-03-14
215.43999999999997,328,42,2018-03-15
260.51,415,58,2018-03-16
0.0,0,0,2018-03-17
0.0,0,0,2018-03-18
90.57,315,33,2018-03-19
107.75,100,16,2018-03-20
1972.28,122,31,2018-03-21
369.53000000000003,543,91,2018-03-22
164.94999999999996,222,31,2018-03-23
0.0,0,0,2018-03-24
0.0,0,0,2018-03-25
0.0,0,0,2018-03-26
365.57,559,81,2018-03-27
0.0,0,0,2018-03-28
0.0,0,0,2018-03-29
0.0,0,0,2018-03-30
0.0,0,0,2018-03-31
0.0,0,0,2018-04-01
0.0,0,0,2018-04-02
0.0,0,0,2018-04-03
74.54000000000002,122,15,2018-04-04
0.0,0,0,2018-04-05
0.0,0,0,2018-04-06
0.0,0,0,2018-04-07
0.0,0,0,2018-04-08
153.23999999999998,521,51,2018-04-09
98.62,516,42,2018-04-10
130.95999999999998,526,53,2018-04-11
0.0,0,0,2018-04-12
0.0,0,0,2018-04-13
0.0,0,0,2018-04-14
0.0,0,0,2018-04-15
384.05000000000007,906,101,2018-04-16
154.41000000000003,288,36,2018-04-17
0.0,0,0,2018-04-18
245.87999999999997,553,63,2018-04-19
0.0,0,0,2018-04-20
0.0,0,0,2018-04-21
197.45,250,40,2018-04-22
1057.49,909,103,2018-04-23
