daily_revenue,daily_views,daily_purchases,dates
134.25,343,41,2017-11-28
120.02,240,29,2017-11-29
98.15,121,31,2017-11-30
184.73000000000002,184,32,2017-12-01
0.0,0,0,2017-12-02
76.38,227,23,2017-12-03
14.96,55,6,2017-12-04
179.6,141,36,2017-12-05
0.0,0,0,2017-12-06
32.2,12,8,2017-12-07
0.0,0,0,2017-12-08
0.0,0,0,2017-12-09
237.22,645,76,2017-12-10
0.0,0,0,2017-12-11
0.0,0,0,2017-12-12
0.0,0,0,2017-12-13
0.0,0,0,2017-12-14
0.0,0,0,2017-12-15
0.0,0,0,2017-12-16
81.32999999999997,498,46,2017-12-17
41.5,58,9,2017-12-18
0.0,0,0,2017-12-19
0.0,0,0,2017-12-20
0.0,0,0,2017-12-21
0.0,0,0,2017-12-22
0.0,0,0,2017-12-23
0.0,0,0,2017-12-24
0.0,0,0,2017-12-25
0.0,0,0,2017-12-26
0.0,0,0,2017-12-27
0.0,0,0,2017-12-28
0.0,0,0,2017-12-29
0.0,0,0,2017-12-30
0.0,0,0,2017-12-31
0.0,0,0,2018-01-01
0.0,0,0,2018-01-02
0.0,0,0,2018-01-03
55.989999999999995,495,38,2018-01-04
501.19000000000005,1210,125,2018-01-05
0.0,0,0,2018-01-06
0.0,0,0,2018-01-07
0.0,0,0,2018-01-08
0.0,0,0,2018-01-09
490.62,306,44,2018-01-10
0.0,0,0,2018-01-11
0.0,0,0,2018-01-12
0.0,0,0,2018-01-13
0.0,0,0,2018-01-14
0.0,0,0,2018-01-15
249.65999999999997,592,75,2018-01-16
0.0,0,0,2018-01-17
0.0,0,0,2018-01-18
0.0,0,0,2018-01-19
0.0,0,0,2018-01-20
0.0,0,0,2018-01-21
0.0,0,0,2018-01-22
121.66,273,29,2018-01-23
0.0,0,0,2018-01-24
0.0,0,0,2018-01-25
0.0,0,0,2018-01-26
0.0,0,0,2018-01-27
45.910000000000004,264,25,2018-01-28
0.0,0,0,2018-01-29
0.0,0,0,2018-01-30
99.84,266,29,2018-01-31
51.0,1,1,2018-02-01
0.0,0,0,2018-02-02
0.0,0,0,2018-02-03
106.14999999999999,476,50,2018-02-04
0.0,0,0,2018-02-05
384.03,1558,159,2018-02-06
0.0,0,0,2018-02-07
305.15,473,68,2018-02-08
112.49000000000001,152,18,2018-02-09
0.0,0,0,2018-02-10
0.0,0,0,2018-02-11
0.0,0,0,2018-02-12
0.0,0,0,2018-02-13
0.0,0,0,2018-02-14
0.0,0,0,2018-02-15
0.0,0,0,2018-02-16
0.0,0,0,2018-02-17
0.0,0,0,2018-02-18
1.25,2,1,2018-02-19
223.28,494,57,2018-02-20
0.0,0,0,2018-02-21
58.15,204,20,2018-02-22
0.0,0,0,2018-02-23
0.0,0,0,2018-02-24
0.0,0,0,2018-02-25
92.27999999999999,336,37,2018-02-26
291.81000000000006,545,68,2018-02-27
68.92999999999999,161,21,2018-02-28
40.650000000000006,106,12,2018-03-01
65.78999999999999,164,19,2018-03-02
0.0,0,0,2018-03-03
0.0,0,0,2018-03-04
11.500000000000002,9,4,2018-03-05
145.36999999999998,391,45,2018-03-06
12.7,8,4,2018-03-07
0.0,0,0,2018-03-08
109.45000000000002,143,27,2018-03-09
0.0,0,0,2018-03-10
0.0,0,0,2018-03-11
131.41,456,50,2018-03-12
0.0,0,0,2018-03-13
0.0,0,0,2018-03-14
168.37999999999994,505,61,2018-03-15
0.0,0,0,2018-03-16
0.0,0,0,2018-03-17
0.0,0,0,2018-03-18
0.0,0,0,2018-03-19
0.0,0,0,2018-03-20
102.57000000000001,344,33,2018-03-21
26.620000000000005,100,10,2018-03-22
24.8,4,4,2018-03-23
0.0,0,0,2018-03-24
0.0,0,0,2018-03-25
0.0,0,0,2018-03-26
12.399999999999999,11,4,2018-03-27
0.0,0,0,2018-03-28
60.1,271,26,2018-03-29
0.0,0,0,2018-03-30
0.0,0,0,2018-03-31
0.0,0,0,2018-04-01
0.0,0,0,2018-04-02
0.0,0,0,2018-04-03
19.080000000000002,87,9,2018-04-04
0.0,0,0,2018-04-05
96.05,211,25,2018-04-06
0.0,0,0,2018-04-07
0.0,0,0,2018-04-08
0.0,0,0,2018-04-09
0.0,0,0,2018-04-10
196.16,437,53,2018-04-11
0.0,0,0,2018-04-12
2.76,72,5,2018-04-13
0.0,0,0,2018-04-14
0.0,0,0,2018-04-15
0.0,0,0,2018-04-16
0.0,0,0,2018-04-17
135.87,429,49,2018-04-18
3.38,8,2,2018-04-19
61.7,60,12,2018-04-20
0.0,0,0,2018-04-21
0.0,0,0,2018-04-22
0.0,0,0,2018-04-23
0.0,0,0,2018-04-24
178.12,679,69,2018-04-25
12.15,10,3,2018-04-26
0.0,0,0,2018-04-27
0.0,0,0,2018-04-28
0.0,0,0,2018-04-29
0.0,0,0,2018-04-30
0.0,0,0,2018-05-01
0.0,0,0,2018-05-02
465.52,1833,174,2018-05-03
133.74999999999997,445,47,2018-05-04
0.0,0,0,2018-05-05
0.0,0,0,2018-05-06
40.36,115,15,2018-05-07
53.41,283,27,2018-05-08
62.49,163,20,2018-05-09
106.88000000000001,295,35,2018-05-10
4.6,5,2,2018-05-11
0.0,0,0,2018-05-12
63.199999999999996,234,21,2018-05-13
0.0,0,0,2018-05-14
0.0,0,0,2018-05-15
4.2,7,2,2018-05-16
0.0,0,0,2018-05-17
49.65,133,12,2018-05-18
0.0,0,0,2018-05-19
0.0,0,0,2018-05-20
0.0,0,0,2018-05-21
0.0,0,0,2018-05-22
270.08,506,73,2018-05-23
0.0,0,0,2018-05-24
3.8000000000000003,24,4,2018-05-25
0.0,0,0,2018-05-26
0.0,0,0,2018-05-27
0.0,0,0,2018-05-28
23.799999999999997,92,10,2018-05-29
84.15,154,20,2018-05-30
109.41000000000001,245,29,2018-05-31
52.620000000000005,100,16,2018-06-01
0.0,0,0,2018-06-02
90.03999999999999,311,32,2018-06-03
0.0,0,0,2018-06-04
0.0,0,0,2018-06-05
22.0,57,5,2018-06-06
131.89,276,34,2018-06-07
119.68999999999998,355,37,2018-06-08
0.0,0,0,2018-06-09
0.0,0,0,2018-06-10
123.31,404,41,2018-06-11
0.0,0,0,2018-06-12
0.0,0,0,2018-06-13
140.58999999999997,712,72,2018-06-14
0.0,0,0,2018-06-15
0.0,0,0,2018-06-16
0.0,0,0,2018-06-17
0.0,0,0,2018-06-18
89.0,295,35,2018-06-19
0.0,0,0,2018-06-20
79.63000000000001,206,23,2018-06-21
0.0,0,0,2018-06-22
0.0,0,0,2018-06-23
0.0,0,0,2018-06-24
0.0,0,0,2018-06-25
187.23999999999998,423,52,2018-06-26
95.88,415,39,2018-06-27
83.08000000000001,158,23,2018-06-28
0.0,0,0,2018-06-29
0.0,0,0,2018-06-30
0.0,0,0,2018-07-01
92.12,353,39,2018-07-02
