daily_revenue,daily_views,daily_purchases,dates
139.03,367,44,2017-11-28
4.6,5,2,2017-11-29
12.850000000000001,2,3,2017-11-30
0.0,0,0,2017-12-01
0.0,0,0,2017-12-02
49.2,98,13,2017-12-03
151.98,444,44,2017-12-04
0.0,0,0,2017-12-05
376.70000000000005,422,44,2017-12-06
0.0,0,0,2017-12-07
13.350000000000001,13,5,2017-12-08
0.0,0,0,2017-12-09
30.32,34,4,2017-12-10
489.39,1724,190,2017-12-11
0.0,0,0,2017-12-12
0.0,0,0,2017-12-13
3.25,1,1,2017-12-14
105.39,109,23,2017-12-15
0.0,0,0,2017-12-16
66.0,134,17,2017-12-17
76.67999999999999,273,25,2017-12-18
0.0,0,0,2017-12-19
7.049999999999999,10,5,2017-12-20
0.0,0,0,2017-12-21
0.0,0,0,2017-12-22
0.0,0,0,2017-12-23
0.0,0,0,2017-12-24
0.0,0,0,2017-12-25
0.0,0,0,2017-12-26
0.0,0,0,2017-12-27
0.0,0,0,2017-12-28
0.0,0,0,2017-12-29
0.0,0,0,2017-12-30
0.0,0,0,2017-12-31
16.29,8,3,2018-01-01
0.0,0,0,2018-01-02
0.0,0,0,2018-01-03
47.55,66,14,2018-01-04
0.0,0,0,2018-01-05
0.0,0,0,2018-01-06
0.0,0,0,2018-01-07
111.49,213,34,2018-01-08
259.45,871,89,2018-01-09
144.57,347,40,2018-01-10
154.91999999999996,334,47,2018-01-11
23.27,26,8,2018-01-12
0.0,0,0,2018-01-13
0.0,0,0,2018-01-14
6.7,6,2,2018-01-15
3.64,4,2,2018-01-16
0.0,0,0,2018-01-17
0.0,0,0,2018-01-18
352.31,1161,131,2018-01-19
0.0,0,0,2018-01-20
104.07000000000001,332,40,2018-01-21
34.7,22,11,2018-01-22
408.53000000000003,841,86,2018-01-23
0.0,0,0,2018-01-24
32.75,20,9,2018-01-25
0.0,0,0,2018-01-26
0.0,0,0,2018-01-27
288.78,757,99,2018-01-28
126.26000000000002,365,39,2018-01-29
0.85,3,1,2018-01-30
5.3,30,4,2018-01-31
48.38,152,17,2018-02-01
154.82999999999998,173,47,2018-02-02
0.0,0,0,2018-02-03
43.1,43,7,2018-02-04
212.97,490,60,2018-02-05
277.81,780,90,2018-02-06
53.260000000000005,126,15,2018-02-07
41.8,138,17,2018-02-08
103.82,427,48,2018-02-09
0.0,0,0,2018-02-10
0.0,0,0,2018-02-11
161.71999999999997,321,50,2018-02-12
10.85,6,3,2018-02-13
1.7,4,2,2018-02-14
20.560000000000002,102,10,2018-02-15
0.0,0,0,2018-02-16
0.0,0,0,2018-02-17
0.0,0,0,2018-02-18
3.75,2,1,2018-02-19
79.65,157,26,2018-02-20
0.0,0,0,2018-02-21
70.58,64,10,2018-02-22
0.0,0,0,2018-02-23
0.0,0,0,2018-02-24
127.3,290,36,2018-02-25
0.0,0,0,2018-02-26
71.40000000000002,118,17,2018-02-27
87.22,180,29,2018-02-28
0.0,0,0,2018-03-01
127.99999999999997,311,31,2018-03-02
0.0,0,0,2018-03-03
348.31999999999994,1077,127,2018-03-04
105.00999999999999,233,30,2018-03-05
181.37,43,8,2018-03-06
81.4,173,23,2018-03-07
0.0,0,0,2018-03-08
1.9500000000000002,2,1,2018-03-09
0.0,0,0,2018-03-10
0.0,0,0,2018-03-11
42.1,54,8,2018-03-12
175.73,371,54,2018-03-13
106.39999999999999,519,38,2018-03-14
155.65999999999997,496,53,2018-03-15
0.0,0,0,2018-03-16
0.0,0,0,2018-03-17
0.0,0,0,2018-03-18
142.02999999999997,340,42,2018-03-19
11.45,6,3,2018-03-20
25.39,87,7,2018-03-21
152.2,298,34,2018-03-22
377.13000000000005,792,109,2018-03-23
0.0,0,0,2018-03-24
0.0,0,0,2018-03-25
2.1,3,1,2018-03-26
0.0,0,0,2018-03-27
29.549999999999997,3,5,2018-03-28
361.7300000000001,1048,123,2018-03-29
0.0,0,0,2018-03-30
0.0,0,0,2018-03-31
0.0,0,0,2018-04-01
0.0,0,0,2018-04-02
0.0,0,0,2018-04-03
79.95,302,32,2018-04-04
72.35,125,38,2018-04-05
213.89000000000004,733,81,2018-04-06
0.0,0,0,2018-04-07
120.31,730,59,2018-04-08
431.64099999999996,415,47,2018-04-09
0.0,0,0,2018-04-10
120.09000000000002,312,36,2018-04-11
41.96999999999999,192,19,2018-04-12
94.07000000000001,131,21,2018-04-13
0.0,0,0,2018-04-14
0.0,0,0,2018-04-15
49.830000000000005,252,25,2018-04-16
154.34000000000003,268,40,2018-04-17
183.82,659,58,2018-04-18
164.92000000000002,465,55,2018-04-19
49.69,25,10,2018-04-20
0.0,0,0,2018-04-21
101.19999999999999,305,36,2018-04-22
245.23,710,71,2018-04-23
0.0,0,0,2018-04-24
81.6,111,16,2018-04-25
14.850000000000001,6,3,2018-04-26
84.05000000000001,151,19,2018-04-27
0.0,0,0,2018-04-28
48.449999999999996,96,10,2018-04-29
0.0,0,0,2018-04-30
35.4,15,8,2018-05-01
63.040000000000006,209,22,2018-05-02
182.81,463,48,2018-05-03
0.0,0,0,2018-05-04
0.0,0,0,2018-05-05
0.0,0,0,2018-05-06
16.15,11,3,2018-05-07
58.540000000000006,49,7,2018-05-08
88.60999999999999,297,34,2018-05-09
62.24,176,19,2018-05-10
25.62,23,9,2018-05-11
0.0,0,0,2018-05-12
0.0,0,0,2018-05-13
104.22000000000001,256,29,2018-05-14
83.05,120,16,2018-05-15
10.95,4,1,2018-05-16
83.02,121,21,2018-05-17
301.10999999999996,558,76,2018-05-18
0.0,0,0,2018-05-19
47.75000000000001,137,16,2018-05-20
35.38,139,14,2018-05-21
0.0,0,0,2018-05-22
20.5,8,3,2018-05-23
60.95,73,10,2018-05-24
88.38000000000001,337,37,2018-05-25
0.0,0,0,2018-05-26
0.0,0,0,2018-05-27
0.0,0,0,2018-05-28
101.39,129,24,2018-05-29
0.0,0,0,2018-05-30
0.0,0,0,2018-05-31
78.78,294,30,2018-06-01
0.0,0,0,2018-06-02
44.900000000000006,279,20,2018-06-03
364.35,825,100,2018-06-04
358.15,203,22,2018-06-05
0.0,0,0,2018-06-06
35.32000000000001,136,15,2018-06-07
0.0,0,0,2018-06-08
0.0,0,0,2018-06-09
76.32000000000002,147,23,2018-06-10
0.0,0,0,2018-06-11
247.48999999999998,1072,103,2018-06-12
105.43,374,43,2018-06-13
0.0,0,0,2018-06-14
0.0,0,0,2018-06-15
0.0,0,0,2018-06-16
47.769999999999996,138,12,2018-06-17
0.0,0,0,2018-06-18
0.0,0,0,2018-06-19
0.0,0,0,2018-06-20
161.18999999999994,926,92,2018-06-21
0.0,0,0,2018-06-22
0.0,0,0,2018-06-23
0.0,0,0,2018-06-24
98.78,237,43,2018-06-25
137.59999999999997,345,36,2018-06-26
248.68,568,65,2018-06-27
161.35999999999996,416,47,2018-06-28
771.57,1823,223,2018-06-29
0.0,0,0,2018-06-30
0.0,0,0,2018-07-01
159.80999999999995,253,37,2018-07-02
256.8,249,53,2018-07-03
42.79000000000001,236,21,2018-07-04
2329.68,779,81,2018-07-05
39.260000000000005,89,13,2018-07-06
0.0,0,0,2018-07-07
0.0,0,0,2018-07-08
82.21000000000001,328,33,2018-07-09
0.0,0,0,2018-07-10
11.2,3,2,2018-07-11
0.0,0,0,2018-07-12
102.80999999999999,483,40,2018-07-13
0.0,0,0,2018-07-14
117.19000000000001,661,59,2018-07-15
47.339999999999996,33,8,2018-07-16
87.34,215,27,2018-07-17
203.64999999999998,675,73,2018-07-18
4.95,1,1,2018-07-19
156.95,389,48,2018-07-20
0.0,0,0,2018-07-21
0.0,0,0,2018-07-22
302.96000000000004,488,71,2018-07-23
0.0,0,0,2018-07-24
0.0,0,0,2018-07-25
84.39999999999999,214,28,2018-07-26
2.55,2,1,2018-07-27
0.0,0,0,2018-07-28
0.0,0,0,2018-07-29
32.84,131,13,2018-07-30
65.78000000000002,215,22,2018-07-31
50.85,217,18,2018-08-01
61.7,149,18,2018-08-02
153.25999999999996,369,47,2018-08-03
0.0,0,0,2018-08-04
0.0,0,0,2018-08-05
3.4,5,2,2018-08-06
0.0,0,0,2018-08-07
119.50999999999999,150,26,2018-08-08
4.75,2,3,2018-08-09
9.2,5,2,2018-08-10
0.0,0,0,2018-08-11
0.0,0,0,2018-08-12
50.08,254,24,2018-08-13
67.35000000000001,190,21,2018-08-14
111.32000000000001,298,35,2018-08-15
90.4,225,24,2018-08-16
87.02999999999999,184,25,2018-08-17
0.0,0,0,2018-08-18
70.65,223,23,2018-08-19
0.0,0,0,2018-08-20
136.09999999999997,456,53,2018-08-21
132.69,245,32,2018-08-22
104.95000000000002,168,21,2018-08-23
0.0,0,0,2018-08-24
0.0,0,0,2018-08-25
0.0,0,0,2018-08-26
0.0,0,0,2018-08-27
95.13999999999999,214,27,2018-08-28
168.23000000000002,545,65,2018-08-29
18.85,15,2,2018-08-30
0.0,0,0,2018-08-31
0.0,0,0,2018-09-01
65.67000000000002,266,27,2018-09-02
26.700000000000003,26,5,2018-09-03
46.169999999999995,126,14,2018-09-04
61.52,188,18,2018-09-05
185.14,605,68,2018-09-06
115.57,300,35,2018-09-07
0.0,0,0,2018-09-08
0.0,0,0,2018-09-09
120.49000000000001,273,31,2018-09-10
240.94,345,48,2018-09-11
249.53999999999996,1100,94,2018-09-12
53.620000000000005,51,16,2018-09-13
59.440000000000005,199,21,2018-09-14
0.0,0,0,2018-09-15
0.0,0,0,2018-09-16
113.35999999999999,343,39,2018-09-17
101.79,294,34,2018-09-18
0.0,0,0,2018-09-19
0.0,0,0,2018-09-20
0.0,0,0,2018-09-21
0.0,0,0,2018-09-22
0.0,0,0,2018-09-23
124.32000000000001,446,44,2018-09-24
235.82999999999998,453,62,2018-09-25
14.899999999999999,3,2,2018-09-26
266.97,1001,104,2018-09-27
159.96999999999997,188,33,2018-09-28
0.0,0,0,2018-09-29
45.04,63,7,2018-09-30
166.18999999999997,702,70,2018-10-01
196.4,466,59,2018-10-02
307.37,724,92,2018-10-03
101.13,169,30,2018-10-04
164.14999999999995,357,44,2018-10-05
0.0,0,0,2018-10-06
0.0,0,0,2018-10-07
0.0,0,0,2018-10-08
194.25,799,80,2018-10-09
122.05,135,23,2018-10-10
0.0,0,0,2018-10-11
139.89,199,25,2018-10-12
0.0,0,0,2018-10-13
