daily_revenue,daily_views,daily_purchases,dates
49.330000000000005,240,23,2017-11-29
0.0,0,0,2017-11-30
77.52000000000001,195,22,2017-12-01
0.0,0,0,2017-12-02
0.0,0,0,2017-12-03
0.0,0,0,2017-12-04
104.14999999999999,51,51,2017-12-05
0.0,0,0,2017-12-06
0.0,0,0,2017-12-07
0.0,0,0,2017-12-08
0.0,0,0,2017-12-09
0.0,0,0,2017-12-10
0.0,0,0,2017-12-11
0.0,0,0,2017-12-12
37.25,76,7,2017-12-13
0.0,0,0,2017-12-14
116.01,634,52,2017-12-15
0.0,0,0,2017-12-16
0.0,0,0,2017-12-17
0.0,0,0,2017-12-18
0.0,0,0,2017-12-19
0.0,0,0,2017-12-20
0.0,0,0,2017-12-21
0.0,0,0,2017-12-22
0.0,0,0,2017-12-23
0.0,0,0,2017-12-24
0.0,0,0,2017-12-25
0.0,0,0,2017-12-26
0.0,0,0,2017-12-27
0.0,0,0,2017-12-28
0.0,0,0,2017-12-29
0.0,0,0,2017-12-30
0.0,0,0,2017-12-31
0.0,0,0,2018-01-01
0.0,0,0,2018-01-02
0.0,0,0,2018-01-03
0.0,0,0,2018-01-04
0.0,0,0,2018-01-05
0.0,0,0,2018-01-06
0.0,0,0,2018-01-07
15.64,7,2,2018-01-08
0.0,0,0,2018-01-09
0.0,0,0,2018-01-10
0.0,0,0,2018-01-11
47.15,85,9,2018-01-12
0.0,0,0,2018-01-13
0.0,0,0,2018-01-14
0.0,0,0,2018-01-15
0.0,0,0,2018-01-16
0.0,0,0,2018-01-17
0.0,0,0,2018-01-18
90.42,484,49,2018-01-19
0.0,0,0,2018-01-20
0.0,0,0,2018-01-21
0.0,0,0,2018-01-22
184.24,966,91,2018-01-23
0.0,0,0,2018-01-24
0.0,0,0,2018-01-25
0.0,0,0,2018-01-26
0.0,0,0,2018-01-27
0.0,0,0,2018-01-28
0.0,0,0,2018-01-29
0.0,0,0,2018-01-30
41.5,66,9,2018-01-31
0.0,0,0,2018-02-01
0.0,0,0,2018-02-02
0.0,0,0,2018-02-03
0.0,0,0,2018-02-04
0.0,0,0,2018-02-05
0.0,0,0,2018-02-06
0.0,0,0,2018-02-07
0.0,0,0,2018-02-08
0.0,0,0,2018-02-09
0.0,0,0,2018-02-10
0.0,0,0,2018-02-11
0.0,0,0,2018-02-12
0.0,0,0,2018-02-13
0.0,0,0,2018-02-14
1091.5300000000002,681,59,2018-02-15
0.0,0,0,2018-02-16
0.0,0,0,2018-02-17
0.0,0,0,2018-02-18
0.0,0,0,2018-02-19
0.0,0,0,2018-02-20
10.169999999999998,35,4,2018-02-21
0.0,0,0,2018-02-22
71.84,76,29,2018-02-23
0.0,0,0,2018-02-24
0.0,0,0,2018-02-25
2.1,4,1,2018-02-26
23.669999999999998,235,19,2018-02-27
0.0,0,0,2018-02-28
0.0,0,0,2018-03-01
0.0,0,0,2018-03-02
0.0,0,0,2018-03-03
0.0,0,0,2018-03-04
27.700000000000003,101,10,2018-03-05
0.0,0,0,2018-03-06
0.0,0,0,2018-03-07
69.55,261,24,2018-03-08
88.98,394,32,2018-03-09
0.0,0,0,2018-03-10
53.81,343,29,2018-03-11
1.65,24,1,2018-03-12
0.0,0,0,2018-03-13
0.0,0,0,2018-03-14
0.0,0,0,2018-03-15
0.0,0,0,2018-03-16
0.0,0,0,2018-03-17
26.699999999999996,56,7,2018-03-18
0.0,0,0,2018-03-19
0.0,0,0,2018-03-20
0.0,0,0,2018-03-21
33.940000000000005,59,7,2018-03-22
530.12,708,58,2018-03-23
0.0,0,0,2018-03-24
0.0,0,0,2018-03-25
0.0,0,0,2018-03-26
0.0,0,0,2018-03-27
0.0,0,0,2018-03-28
44.96,323,31,2018-03-29
0.0,0,0,2018-03-30
0.0,0,0,2018-03-31
0.0,0,0,2018-04-01
0.0,0,0,2018-04-02
0.0,0,0,2018-04-03
0.0,0,0,2018-04-04
34.400000000000006,136,13,2018-04-05
55.800000000000004,145,18,2018-04-06
0.0,0,0,2018-04-07
0.0,0,0,2018-04-08
0.0,0,0,2018-04-09
42.150000000000006,102,12,2018-04-10
0.0,0,0,2018-04-11
0.0,0,0,2018-04-12
70.99999999999999,258,27,2018-04-13
