daily_revenue,daily_views,daily_purchases,dates
3.35,2,2,2017-11-30
92.03,149,18,2017-12-01
0.0,0,0,2017-12-02
0.0,0,0,2017-12-03
58.699999999999996,71,7,2017-12-04
0.0,0,0,2017-12-05
0.0,0,0,2017-12-06
0.0,0,0,2017-12-07
0.0,0,0,2017-12-08
0.0,0,0,2017-12-09
0.0,0,0,2017-12-10
0.0,0,0,2017-12-11
0.0,0,0,2017-12-12
0.0,0,0,2017-12-13
10.17,41,3,2017-12-14
0.0,0,0,2017-12-15
0.0,0,0,2017-12-16
0.0,0,0,2017-12-17
0.0,0,0,2017-12-18
0.0,0,0,2017-12-19
680.97,1929,207,2017-12-20
0.0,0,0,2017-12-21
0.0,0,0,2017-12-22
0.0,0,0,2017-12-23
0.0,0,0,2017-12-24
0.0,0,0,2017-12-25
0.0,0,0,2017-12-26
0.0,0,0,2017-12-27
0.0,0,0,2017-12-28
0.0,0,0,2017-12-29
0.0,0,0,2017-12-30
0.0,0,0,2017-12-31
0.0,0,0,2018-01-01
0.0,0,0,2018-01-02
0.0,0,0,2018-01-03
0.0,0,0,2018-01-04
0.0,0,0,2018-01-05
0.0,0,0,2018-01-06
110.54,238,28,2018-01-07
1410.99,2,2,2018-01-08
0.0,0,0,2018-01-09
1410.99,7,4,2018-01-10
0.0,0,0,2018-01-11
0.0,0,0,2018-01-12
0.0,0,0,2018-01-13
0.0,0,0,2018-01-14
0.0,0,0,2018-01-15
0.0,0,0,2018-01-16
0.0,0,0,2018-01-17
0.0,0,0,2018-01-18
124.46,226,30,2018-01-19
0.0,0,0,2018-01-20
0.0,0,0,2018-01-21
0.0,0,0,2018-01-22
254.0,6,4,2018-01-23
107.84000000000002,356,62,2018-01-24
0.0,0,0,2018-01-25
29.25,13,2,2018-01-26
0.0,0,0,2018-01-27
0.0,0,0,2018-01-28
117.08,218,21,2018-01-29
0.0,0,0,2018-01-30
2.5,12,2,2018-01-31
0.0,0,0,2018-02-01
0.0,0,0,2018-02-02
0.0,0,0,2018-02-03
0.0,0,0,2018-02-04
0.0,0,0,2018-02-05
0.0,0,0,2018-02-06
0.0,0,0,2018-02-07
0.0,0,0,2018-02-08
0.0,0,0,2018-02-09
0.0,0,0,2018-02-10
0.0,0,0,2018-02-11
0.0,0,0,2018-02-12
0.0,0,0,2018-02-13
0.0,0,0,2018-02-14
0.0,0,0,2018-02-15
0.0,0,0,2018-02-16
0.0,0,0,2018-02-17
0.0,0,0,2018-02-18
0.0,0,0,2018-02-19
0.0,0,0,2018-02-20
0.0,0,0,2018-02-21
0.0,0,0,2018-02-22
0.0,0,0,2018-02-23
0.0,0,0,2018-02-24
33.400000000000006,8,6,2018-02-25
57.09000000000001,168,15,2018-02-26
0.0,0,0,2018-02-27
0.0,0,0,2018-02-28
0.0,0,0,2018-03-01
0.0,0,0,2018-03-02
0.0,0,0,2018-03-03
0.0,0,0,2018-03-04
0.0,0,0,2018-03-05
79.76,243,25,2018-03-06
0.0,0,0,2018-03-07
0.0,0,0,2018-03-08
0.0,0,0,2018-03-09
0.0,0,0,2018-03-10
0.0,0,0,2018-03-11
0.0,0,0,2018-03-12
0.0,0,0,2018-03-13
0.0,0,0,2018-03-14
0.0,0,0,2018-03-15
0.0,0,0,2018-03-16
0.0,0,0,2018-03-17
0.0,0,0,2018-03-18
0.0,0,0,2018-03-19
0.0,0,0,2018-03-20
0.0,0,0,2018-03-21
139.23,332,39,2018-03-22
0.0,0,0,2018-03-23
0.0,0,0,2018-03-24
0.0,0,0,2018-03-25
28.019999999999996,33,13,2018-03-26
0.0,0,0,2018-03-27
7.8500000000000005,10,3,2018-03-28
0.0,0,0,2018-03-29
0.0,0,0,2018-03-30
0.0,0,0,2018-03-31
0.0,0,0,2018-04-01
0.0,0,0,2018-04-02
0.0,0,0,2018-04-03
0.0,0,0,2018-04-04
0.0,0,0,2018-04-05
0.0,0,0,2018-04-06
0.0,0,0,2018-04-07
0.0,0,0,2018-04-08
0.0,0,0,2018-04-09
128.27,192,28,2018-04-10
12.75,4,1,2018-04-11
37.86,83,8,2018-04-12
0.0,0,0,2018-04-13
0.0,0,0,2018-04-14
0.0,0,0,2018-04-15
0.0,0,0,2018-04-16
0.0,0,0,2018-04-17
0.0,0,0,2018-04-18
0.0,0,0,2018-04-19
0.0,0,0,2018-04-20
0.0,0,0,2018-04-21
0.0,0,0,2018-04-22
0.0,0,0,2018-04-23
0.0,0,0,2018-04-24
0.0,0,0,2018-04-25
0.0,0,0,2018-04-26
0.0,0,0,2018-04-27
0.0,0,0,2018-04-28
0.0,0,0,2018-04-29
0.0,0,0,2018-04-30
397.69999999999993,359,41,2018-05-01
0.0,0,0,2018-05-02
0.0,0,0,2018-05-03
0.0,0,0,2018-05-04
0.0,0,0,2018-05-05
0.0,0,0,2018-05-06
0.0,0,0,2018-05-07
0.0,0,0,2018-05-08
0.0,0,0,2018-05-09
107.19,276,32,2018-05-10
0.0,0,0,2018-05-11
0.0,0,0,2018-05-12
0.0,0,0,2018-05-13
0.0,0,0,2018-05-14
0.0,0,0,2018-05-15
0.0,0,0,2018-05-16
0.0,0,0,2018-05-17
0.0,0,0,2018-05-18
0.0,0,0,2018-05-19
0.0,0,0,2018-05-20
0.0,0,0,2018-05-21
0.0,0,0,2018-05-22
0.0,0,0,2018-05-23
0.0,0,0,2018-05-24
0.0,0,0,2018-05-25
0.0,0,0,2018-05-26
0.0,0,0,2018-05-27
0.0,0,0,2018-05-28
0.0,0,0,2018-05-29
0.0,0,0,2018-05-30
0.0,0,0,2018-05-31
0.0,0,0,2018-06-01
0.0,0,0,2018-06-02
0.0,0,0,2018-06-03
0.0,0,0,2018-06-04
0.0,0,0,2018-06-05
0.0,0,0,2018-06-06
0.0,0,0,2018-06-07
10.17,49,3,2018-06-08
0.0,0,0,2018-06-09
0.0,0,0,2018-06-10
0.0,0,0,2018-06-11
0.0,0,0,2018-06-12
69.43999999999998,233,22,2018-06-13
0.0,0,0,2018-06-14
0.0,0,0,2018-06-15
0.0,0,0,2018-06-16
0.0,0,0,2018-06-17
0.0,0,0,2018-06-18
0.0,0,0,2018-06-19
0.0,0,0,2018-06-20
0.0,0,0,2018-06-21
0.0,0,0,2018-06-22
0.0,0,0,2018-06-23
0.0,0,0,2018-06-24
0.0,0,0,2018-06-25
0.0,0,0,2018-06-26
0.0,0,0,2018-06-27
0.0,0,0,2018-06-28
0.0,0,0,2018-06-29
0.0,0,0,2018-06-30
0.0,0,0,2018-07-01
0.0,0,0,2018-07-02
0.0,0,0,2018-07-03
0.0,0,0,2018-07-04
0.0,0,0,2018-07-05
0.0,0,0,2018-07-06
0.0,0,0,2018-07-07
0.0,0,0,2018-07-08
0.0,0,0,2018-07-09
0.0,0,0,2018-07-10
0.0,0,0,2018-07-11
0.0,0,0,2018-07-12
0.0,0,0,2018-07-13
0.0,0,0,2018-07-14
0.0,0,0,2018-07-15
0.0,0,0,2018-07-16
0.0,0,0,2018-07-17
0.0,0,0,2018-07-18
34.65,29,4,2018-07-19
