daily_revenue,daily_views,daily_purchases,dates
13281.12,12922,2953,2017-11-28
13222.970000000001,13650,3217,2017-11-29
12941.5,15243,2911,2017-11-30
9163.07,11652,2443,2017-12-01
1263.28,3101,370,2017-12-02
6229.110000000001,8096,1888,2017-12-03
12189.79,11202,2684,2017-12-04
8892.27,11906,2283,2017-12-05
10886.990000000002,10071,2423,2017-12-06
10651.380000000001,11572,2403,2017-12-07
4864.07,7902,1535,2017-12-08
0.0,0,0,2017-12-09
4568.2,7685,1678,2017-12-10
19097.67,14845,3851,2017-12-11
9518.670000000002,10331,1896,2017-12-12
15610.17,13689,3137,2017-12-13
6003.74,9346,1944,2017-12-14
9560.02,6557,1732,2017-12-15
0.0,0,0,2017-12-16
1811.51,3381,573,2017-12-17
2650.7099999999996,2473,576,2017-12-18
13254.54,5056,2032,2017-12-19
1580.29,1089,328,2017-12-20
0.0,0,0,2017-12-21
0.0,0,0,2017-12-22
0.0,0,0,2017-12-23
0.0,0,0,2017-12-24
0.0,0,0,2017-12-25
0.0,0,0,2017-12-26
0.0,0,0,2017-12-27
0.0,0,0,2017-12-28
0.0,0,0,2017-12-29
0.0,0,0,2017-12-30
0.0,0,0,2017-12-31
1936.26,2993,663,2018-01-01
3061.2700000000004,5603,938,2018-01-02
965.85,1994,294,2018-01-03
2777.0200000000004,6108,846,2018-01-04
1893.67,3793,533,2018-01-05
0.0,0,0,2018-01-06
1969.56,4464,676,2018-01-07
12781.810000000001,7931,2605,2018-01-08
3535.13,4806,1017,2018-01-09
7670.26,5034,1552,2018-01-10
11974.44,8905,2141,2018-01-11
1699.27,3715,554,2018-01-12
0.0,0,0,2018-01-13
3438.31,5700,1116,2018-01-14
8679.830000000002,5934,1879,2018-01-15
7036.981,7538,1639,2018-01-16
4729.54,5001,1207,2018-01-17
3402.0599999999995,5824,1095,2018-01-18
5207.34,5568,1186,2018-01-19
0.0,0,0,2018-01-20
3918.16,5560,1231,2018-01-21
6752.710000000001,7339,1650,2018-01-22
12331.510000000002,5821,1345,2018-01-23
6081.76,6878,1443,2018-01-24
3580.92,7277,1182,2018-01-25
23937.591,6180,1207,2018-01-26
0.0,0,0,2018-01-27
3462.62,6146,1244,2018-01-28
5286.951,5185,1258,2018-01-29
2957.9,5982,1040,2018-01-30
5672.791,6276,1442,2018-01-31
4645.719999999999,7915,1551,2018-02-01
4173.33,5383,1030,2018-02-02
0.0,0,0,2018-02-03
2059.98,2761,742,2018-02-04
4642.32,5245,1204,2018-02-05
2815.79,4454,784,2018-02-06
3983.1600000000003,2764,861,2018-02-07
2480.81,3959,766,2018-02-08
2792.8100000000004,3570,757,2018-02-09
0.0,0,0,2018-02-10
3437.55,6119,1157,2018-02-11
2084.4410000000003,5475,710,2018-02-12
7831.5999999999985,8774,1879,2018-02-13
2971.8900000000003,5964,945,2018-02-14
3905.03,7601,1319,2018-02-15
7938.450000000001,5494,1634,2018-02-16
0.0,0,0,2018-02-17
3171.4010000000003,3924,931,2018-02-18
3491.99,7473,1070,2018-02-19
3843.94,5877,1092,2018-02-20
4674.941000000001,5321,1201,2018-02-21
5088.370000000001,9235,1531,2018-02-22
7474.590999999999,4627,999,2018-02-23
0.0,0,0,2018-02-24
3800.09,5318,1251,2018-02-25
4292.200000000001,6374,1162,2018-02-26
6257.64,6471,1480,2018-02-27
5528.22,8869,1597,2018-02-28
7018.009999999999,10659,1801,2018-03-01
4574.2,5336,1133,2018-03-02
0.0,0,0,2018-03-03
5884.59,7347,1675,2018-03-04
9343.65,8016,1866,2018-03-05
6179.93,6259,1153,2018-03-06
5986.6,7997,1525,2018-03-07
5351.31,6396,1295,2018-03-08
3330.48,4337,821,2018-03-09
0.0,0,0,2018-03-10
1763.77,2621,640,2018-03-11
7081.8009999999995,5966,1550,2018-03-12
5005.5,6804,1335,2018-03-13
4041.67,7133,1226,2018-03-14
5826.54,8140,1401,2018-03-15
13837.489999999996,6393,1288,2018-03-16
0.0,0,0,2018-03-17
3901.4700000000003,6689,1367,2018-03-18
6293.400000000001,7552,1462,2018-03-19
52280.04,6213,1265,2018-03-20
6807.48,7029,1391,2018-03-21
18308.93,8640,1692,2018-03-22
4234.21,5995,1186,2018-03-23
0.0,0,0,2018-03-24
4761.23,9368,1838,2018-03-25
8582.63,9488,1968,2018-03-26
7089.4,9317,1799,2018-03-27
7832.740000000001,8976,1890,2018-03-28
6173.91,7777,1525,2018-03-29
0.0,0,0,2018-03-30
0.0,0,0,2018-03-31
0.0,0,0,2018-04-01
0.0,0,0,2018-04-02
3815.88,5547,1092,2018-04-03
4675.700000000001,6649,1273,2018-04-04
7155.57,10736,1963,2018-04-05
3124.4300000000003,4327,795,2018-04-06
0.0,0,0,2018-04-07
2992.37,5379,1030,2018-04-08
2668.16,5430,859,2018-04-09
4001.2200000000003,5945,1236,2018-04-10
3009.92,6374,986,2018-04-11
24186.76,7243,1135,2018-04-12
2220.37,4618,743,2018-04-13
0.0,0,0,2018-04-14
4765.13,5849,1380,2018-04-15
15214.319999999998,10716,3002,2018-04-16
13570.099999999997,7331,1444,2018-04-17
3978.9,5592,1045,2018-04-18
16626.53,8763,1403,2018-04-19
5757.71,6472,1126,2018-04-20
0.0,0,0,2018-04-21
4104.5,5678,1263,2018-04-22
7792.66,7749,1788,2018-04-23
5421.8,10822,1642,2018-04-24
5386.820000000001,9976,1633,2018-04-25
-45645.329000000005,9783,1874,2018-04-26
5924.34,5409,1165,2018-04-27
0.0,0,0,2018-04-28
2458.27,4096,789,2018-04-29
0.0,0,0,2018-04-30
6558.59,6230,1292,2018-05-01
6829.630000000001,7223,1505,2018-05-02
5986.120000000001,7929,1571,2018-05-03
4065.4000000000005,9096,1318,2018-05-04
0.0,0,0,2018-05-05
4560.4400000000005,7027,1584,2018-05-06
7791.99,8178,1499,2018-05-07
5861.5,9081,1614,2018-05-08
4279.07,6764,1194,2018-05-09
5160.64,6709,1304,2018-05-10
3824.12,4712,939,2018-05-11
0.0,0,0,2018-05-12
4511.379999999999,5261,1470,2018-05-13
4783.37,7092,1403,2018-05-14
5745.87,6550,1485,2018-05-15
4344.93,6033,1213,2018-05-16
6271.67,8774,1549,2018-05-17
5391.97,4471,1166,2018-05-18
0.0,0,0,2018-05-19
4210.039999999999,6502,1221,2018-05-20
5204.120000000001,8853,1302,2018-05-21
4746.97,7018,1343,2018-05-22
7613.98,7472,1540,2018-05-23
6246.210000000001,11086,2027,2018-05-24
5509.610000000001,6502,1245,2018-05-25
0.0,0,0,2018-05-26
2380.03,3529,804,2018-05-27
0.0,0,0,2018-05-28
4108.38,5513,1190,2018-05-29
3566.1900000000005,4196,944,2018-05-30
6883.139999999999,7061,1520,2018-05-31
7321.799999999999,4896,1415,2018-06-01
0.0,0,0,2018-06-02
6899.4,9717,2168,2018-06-03
9096.92,11491,2523,2018-06-04
12488.35,9128,2070,2018-06-05
4472.81,8195,1398,2018-06-06
4289.950000000001,5921,1018,2018-06-07
14499.599999999999,8868,1651,2018-06-08
0.0,0,0,2018-06-09
4625.93,6985,1423,2018-06-10
4963.16,6425,1457,2018-06-11
7162.919999999999,7422,1415,2018-06-12
5965.740000000001,9757,1771,2018-06-13
73158.45,8007,1627,2018-06-14
3865.3199999999997,4643,894,2018-06-15
0.0,0,0,2018-06-16
1507.0300000000002,1927,423,2018-06-17
5770.82,8328,1773,2018-06-18
3696.0299999999997,4422,908,2018-06-19
3835.2699999999995,6070,1068,2018-06-20
9255.04,5823,1385,2018-06-21
5369.150000000001,5577,1164,2018-06-22
0.0,0,0,2018-06-23
4149.530000000001,5699,1283,2018-06-24
5556.59,7847,1517,2018-06-25
5379.12,8526,1447,2018-06-26
6374.78,8367,1665,2018-06-27
5728.96,9853,1660,2018-06-28
2416.83,4463,818,2018-06-29
0.0,0,0,2018-06-30
2285.55,2640,680,2018-07-01
5926.139999999999,10078,1778,2018-07-02
4167.83,5333,1007,2018-07-03
9593.009999999998,7095,1572,2018-07-04
3953.58,6897,1230,2018-07-05
3530.9700000000003,3621,798,2018-07-06
0.0,0,0,2018-07-07
2040.46,2533,708,2018-07-08
5161.58,5215,1142,2018-07-09
4329.04,4308,1027,2018-07-10
4899.68,5558,1244,2018-07-11
10234.439999999999,8893,1522,2018-07-12
4074.79,6667,1125,2018-07-13
0.0,0,0,2018-07-14
2810.9700000000003,4149,830,2018-07-15
-39092.100000000006,7715,1328,2018-07-16
4013.72,6516,1113,2018-07-17
5547.93,6516,1190,2018-07-18
7264.98,7312,1579,2018-07-19
3171.25,5272,933,2018-07-20
0.0,0,0,2018-07-21
3845.7299999999996,6846,1223,2018-07-22
5606.49,7984,1431,2018-07-23
3060.29,5600,844,2018-07-24
3920.2099999999996,7820,1253,2018-07-25
11075.99,8248,1846,2018-07-26
2958.2099999999996,4246,701,2018-07-27
0.0,0,0,2018-07-28
2734.49,4113,886,2018-07-29
6417.4400000000005,6838,1174,2018-07-30
7927.74,6591,1459,2018-07-31
6084.15,7307,1357,2018-08-01
3341.3099999999995,7491,1263,2018-08-02
1803.5900000000001,4064,533,2018-08-03
0.0,0,0,2018-08-04
2509.7200000000003,4456,889,2018-08-05
2315.15,4956,783,2018-08-06
7307.75,5995,1656,2018-08-07
5391.6,4611,985,2018-08-08
8194.369999999999,9584,1819,2018-08-09
5729.45,7773,1465,2018-08-10
0.0,0,0,2018-08-11
2922.74,5663,990,2018-08-12
3474.54,4804,898,2018-08-13
2946.21,5966,884,2018-08-14
5058.83,7881,1525,2018-08-15
5068.49,7232,1365,2018-08-16
3791.41,6235,1073,2018-08-17
0.0,0,0,2018-08-18
3751.31,7768,1279,2018-08-19
3185.6600000000003,6681,1030,2018-08-20
3480.6799999999994,7189,1086,2018-08-21
5987.06,9267,1546,2018-08-22
6807.26,8578,1528,2018-08-23
26392.429999999993,4261,918,2018-08-24
0.0,0,0,2018-08-25
2302.29,5043,812,2018-08-26
0.0,0,0,2018-08-27
6222.34,7044,1558,2018-08-28
3402.73,3569,769,2018-08-29
4576.02,8327,1443,2018-08-30
3845.19,5395,995,2018-08-31
0.0,0,0,2018-09-01
2013.32,3797,720,2018-09-02
5691.49,5595,1333,2018-09-03
3718.65,5889,1048,2018-09-04
3307.47,5739,990,2018-09-05
6463.58,6818,1335,2018-09-06
3633.26,5434,968,2018-09-07
0.0,0,0,2018-09-08
3639.83,5808,1245,2018-09-09
7615.530000000001,8971,1917,2018-09-10
3682.25,6640,1179,2018-09-11
3691.0499999999997,6881,1183,2018-09-12
30369.511,7790,1445,2018-09-13
4271.09,5619,1015,2018-09-14
0.0,0,0,2018-09-15
4999.02,8958,1958,2018-09-16
8397.07,9056,1638,2018-09-17
6889.42,14822,2204,2018-09-18
5368.54,8147,1403,2018-09-19
5572.23,12438,1920,2018-09-20
9160.960000000001,7638,1362,2018-09-21
0.0,0,0,2018-09-22
4197.75,8364,1459,2018-09-23
38898.73,13246,2035,2018-09-24
9947.07,14689,2598,2018-09-25
6030.540000000001,12257,1838,2018-09-26
14005.46,11802,1822,2018-09-27
6509.780000000001,8133,1567,2018-09-28
0.0,0,0,2018-09-29
6550.34,9763,1994,2018-09-30
6847.39,12207,1946,2018-10-01
62415.03999999999,17363,2610,2018-10-02
3808.96,8900,1166,2018-10-03
13757.239999999998,16872,3415,2018-10-04
6897.49,10814,1886,2018-10-05
0.0,0,0,2018-10-06
4999.610000000001,7943,1614,2018-10-07
6959.24,12162,2255,2018-10-08
7848.459999999999,13713,2324,2018-10-09
14631.13,10291,1881,2018-10-10
6145.03,11660,1729,2018-10-11
28363.95,11767,2147,2018-10-12
0.0,0,0,2018-10-13
7332.47,12395,2682,2018-10-14
10600.189999999999,11695,2700,2018-10-15
8188.14,10639,2104,2018-10-16
-29762.210000000006,12716,2417,2018-10-17
7169.76,10030,1907,2018-10-18
9013.59,9206,2051,2018-10-19
0.0,0,0,2018-10-20
6688.93,10622,2259,2018-10-21
5546.13,9152,1832,2018-10-22
6853.3,11526,2125,2018-10-23
5263.740000000001,7401,1518,2018-10-24
6409.16,6689,1448,2018-10-25
6381.700000000001,10241,1748,2018-10-26
0.0,0,0,2018-10-27
7288.900000000001,11488,2621,2018-10-28
9301.79,9042,2135,2018-10-29
7548.499999999999,11526,2169,2018-10-30
6519.369999999999,8822,1847,2018-10-31
13237.57,18102,3614,2018-11-01
6208.85,7708,1596,2018-11-02
0.0,0,0,2018-11-03
7408.070000000001,13217,2742,2018-11-04
22800.791,11872,2447,2018-11-05
11268.439999999999,14712,2687,2018-11-06
11903.62,15142,3406,2018-11-07
12084.880000000001,15701,3121,2018-11-08
11694.25,11345,2792,2018-11-09
0.0,0,0,2018-11-10
8128.6,10698,2849,2018-11-11
13073.92,13987,3423,2018-11-12
9902.54,14961,2917,2018-11-13
10694.721,13869,2779,2018-11-14
10349.54,12867,2767,2018-11-15
8210.9,10709,2270,2018-11-16
0.0,0,0,2018-11-17
8270.470000000001,13237,3118,2018-11-18
11934.310000000001,11968,3005,2018-11-19
13055.55,16559,3364,2018-11-20
13489.869999999999,14719,3313,2018-11-21
11494.189999999999,18331,3453,2018-11-22
8913.59,10167,2241,2018-11-23
0.0,0,0,2018-11-24
7556.88,9368,2526,2018-11-25
15412.48,15547,3665,2018-11-26
7165.05,13301,2192,2018-11-27
24856.159999999996,24644,5898,2018-11-28
13504.960000000001,26123,4188,2018-11-29
20626.02,15815,4022,2018-11-30
0.0,0,0,2018-12-01
14212.14,18131,4986,2018-12-02
34715.899999999994,28444,7638,2018-12-03
169539.62,21601,5708,2018-12-04
19080.82,24566,4984,2018-12-05
27164.940000000002,21446,5270,2018-12-06
12300.3,10594,2629,2018-12-07
0.0,0,0,2018-12-08
3874.2700000000004,5052,1403,2018-12-09
12253.78,10550,2257,2018-12-10
8027.23,10770,1995,2018-12-11
4661.8099999999995,8364,1273,2018-12-12
5808.610000000001,12139,1746,2018-12-13
16826.449999999997,7583,2816,2018-12-14
0.0,0,0,2018-12-15
1454.1800000000003,2172,480,2018-12-16
7545.17,6083,1593,2018-12-17
11841.349999999999,4311,1466,2018-12-18
1908.67,1284,250,2018-12-19
3570.8,3375,870,2018-12-20
0.0,0,0,2018-12-21
0.0,0,0,2018-12-22
0.0,0,0,2018-12-23
0.0,0,0,2018-12-24
0.0,0,0,2018-12-25
0.0,0,0,2018-12-26
0.0,0,0,2018-12-27
0.0,0,0,2018-12-28
0.0,0,0,2018-12-29
0.0,0,0,2018-12-30
0.0,0,0,2018-12-31
4228.52,5472,1170,2019-01-01
38781.34,7723,1628,2019-01-02
6472.18,9301,1728,2019-01-03
4793.460000000001,7343,1431,2019-01-04
0.0,0,0,2019-01-05
3265.84,5262,1043,2019-01-06
7129.17,7737,1795,2019-01-07
4894.31,7034,1361,2019-01-08
6943.4400000000005,6719,1687,2019-01-09
5419.419999999999,6158,1368,2019-01-10
5904.01,5770,1264,2019-01-11
0.0,0,0,2019-01-12
1854.5,2583,646,2019-01-13
9302.67,9277,2416,2019-01-14
6132.52,4238,1362,2019-01-15
4142.04,5335,1186,2019-01-16
7793.720000000001,5804,1390,2019-01-17
6388.74,6296,1462,2019-01-18
0.0,0,0,2019-01-19
2551.56,3515,867,2019-01-20
5831.54,5623,1279,2019-01-21
6002.110000000001,7725,1489,2019-01-22
4654.76,4999,1088,2019-01-23
4693.88,7195,1335,2019-01-24
3465.6400000000003,4727,871,2019-01-25
0.0,0,0,2019-01-26
2321.7200000000003,2934,722,2019-01-27
5485.02,5712,1312,2019-01-28
5015.740000000001,7299,1445,2019-01-29
5740.0,6209,1355,2019-01-30
3151.92,4802,863,2019-01-31
5757.7,5191,1080,2019-02-01
0.0,0,0,2019-02-02
799.45,1209,279,2019-02-03
4376.7699999999995,5214,1142,2019-02-04
5386.59,4998,1163,2019-02-05
3985.76,2852,746,2019-02-06
