daily_revenue,daily_views,daily_purchases,dates
14450.540000000003,15047,3223,2017-11-28
13411.960000000003,14159,3277,2017-11-29
13290.25,15766,3002,2017-11-30
9687.279999999999,12524,2559,2017-12-01
1443.2600000000002,3313,402,2017-12-02
6432.9400000000005,8544,1942,2017-12-03
13137.5,12751,2869,2017-12-04
9467.009999999998,12604,2440,2017-12-05
11268.54,10510,2470,2017-12-06
10976.6,11985,2492,2017-12-07
4898.32,7922,1542,2017-12-08
0.0,0,0,2017-12-09
4982.87,8521,1776,2017-12-10
19866.98,17017,4117,2017-12-11
10012.130000000001,11127,2004,2017-12-12
15879.660000000002,14280,3216,2017-12-13
7701.580000000001,9505,1965,2017-12-14
10970.560000000001,8973,2057,2017-12-15
0.0,0,0,2017-12-16
1964.7900000000002,4013,637,2017-12-17
2846.58,3212,645,2017-12-18
13350.100000000002,5218,2053,2017-12-19
2268.31,3028,540,2017-12-20
0.0,0,0,2017-12-21
0.0,0,0,2017-12-22
0.0,0,0,2017-12-23
0.0,0,0,2017-12-24
0.0,0,0,2017-12-25
0.0,0,0,2017-12-26
0.0,0,0,2017-12-27
0.0,0,0,2017-12-28
0.0,0,0,2017-12-29
0.0,0,0,2017-12-30
0.0,0,0,2017-12-31
1966.55,3005,668,2018-01-01
3061.2700000000004,5603,938,2018-01-02
965.85,1994,294,2018-01-03
3373.16,8499,1065,2018-01-04
4979.93,5463,719,2018-01-05
0.0,0,0,2018-01-06
2080.1000000000004,4702,704,2018-01-07
14429.400000000001,8682,2688,2018-01-08
3799.5799999999995,5678,1107,2018-01-09
11600.810000000001,5706,1644,2018-01-10
12228.63,9615,2230,2018-01-11
2084.96,4534,662,2018-01-12
0.0,0,0,2018-01-13
3438.31,5700,1116,2018-01-14
8908.330000000002,6112,1908,2018-01-15
7847.691,8924,1859,2018-01-16
7021.91,5168,1224,2018-01-17
3854.6000000000004,7288,1228,2018-01-18
9419.02,8369,1520,2018-01-19
0.0,0,0,2018-01-20
4022.2299999999996,5892,1271,2018-01-21
7017.8099999999995,7689,1699,2018-01-22
15461.129999999997,8009,1588,2018-01-23
6385.549999999999,7649,1560,2018-01-24
3804.14,7821,1254,2018-01-25
23966.841,6193,1209,2018-01-26
0.0,0,0,2018-01-27
3953.56,7490,1400,2018-01-28
7421.111000000001,6337,1399,2018-01-29
4616.530000000001,7143,1177,2018-01-30
5971.3910000000005,7229,1551,2018-01-31
4837.9,8239,1590,2018-02-01
4328.16,5556,1077,2018-02-02
